"id","clust_5","clust_3","clust_pred4_5"
3969,2,1,"4"
3970,4,3,"4"
3971,4,3,"4"
3972,4,3,"4"
3973,3,2,"4"
3974,3,2,"4"
3975,3,2,"4"
3976,3,2,"4"
3977,3,2,"4"
3978,3,2,"4"
3979,3,2,"4"
3980,3,2,"3"
3981,3,2,"4"
3982,4,3,"4"
3983,3,2,"4"
3984,3,2,"3"
3985,3,2,"3"
3986,3,2,"4"
3987,3,2,"3"
3992,3,2,"3"
3993,3,2,"3"
3994,3,2,"3"
3995,3,2,"3"
3996,3,2,"3"
3997,3,2,"4"
3998,3,2,"4"
3999,3,2,"4"
4000,3,2,"4"
4030,2,1,"4"
4031,2,1,"4"
4032,2,1,"4"
4033,2,1,"4"
4034,2,1,"2"
4035,2,1,"4"
4036,2,1,"4"
4037,2,1,"4"
4038,2,1,"4"
4039,2,1,"4"
4040,2,1,"4"
4041,2,1,"4"
4042,2,1,"4"
4043,2,1,"5"
4044,2,1,"4"
4045,2,1,"4"
4046,2,1,"4"
4047,2,1,"2"
4048,2,1,"4"
4049,4,3,"4"
4050,4,3,"4"
4051,4,3,"4"
4052,4,3,"4"
4053,2,1,"4"
4054,2,1,"4"
4055,2,1,"4"
4056,2,1,"4"
4057,2,1,"4"
4058,2,1,"3"
4059,2,1,"4"
4060,4,3,"4"
4061,4,3,"4"
4062,4,3,"4"
4063,3,2,"4"
4064,3,2,"4"
4065,4,3,"3"
4066,3,2,"4"
4067,3,2,"4"
